카페명,판정,registry매칭,지역,정보등급,유튜브_언급영상,유튜브_최고조회수,유튜브_요약,주소_Pass1,블로그_유효스니펫,블로그_블로거수,블로그_최신포스트,블로그_총량참고,지역검색_상호,지역검색_업종,지역검색_주소,플래그,스니펫예시
백구옥,유지,,세화,low,1,5570,제주감성 낭낭한 신상 맛집으로 소개됨.,,88,81,20260702,121,백구옥,음식점>한식,제주특별자치도 제주시 구좌읍 해맞이해안로 1146-4 단독주택,비카페업종,"백구옥 제주시 구좌읍 해맞이해안로 1146-4 영업시간 오전 11시 ~ 오후 5시까지 라스트오더 오후 4시 재료소진시 조기마감 가능성 있고 영업시간 , 휴무일이 유동적임 예약, 포"
가시림,유지,,표선,mid,1,18699,동백나무 숲을 품고 넓은 정원과 산책로가 어우러진 카페.,,89,80,20260708,1809,가시림 카페,"음식점>카페,디저트",제주특별자치도 서귀포시 표선면 녹산로5번길 171,,바로 #제주가시림 이었어요. 가시림 동백 만나면서 담았던 동영상 보여드리며 시작할게요. 여러분에게도 허락된 꽃길이에요 ↓ ↓ ↓ ↘ 클릭하세요 ↙ ↓ ↓ ↓ 1. 겨울 제주도여행 
델문도,유지,O,조천,high,7,96467,오션뷰 카페. 무료 주차 가능(카페 바로 옆 공터 이용).,제주특별자치도 제주시 조천읍 조함해안로 519-10,88,80,20260708,43177,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,,주차장 제주 델문도 계절식탁 먹방 코스 함덕은 이상하게 하루를 보내도 시간이 금방 가는 동네인 것... 델문도 제주 제주시 조천읍 조함해안로 519-10 숙성도 함덕점 방문 전후로
고사리커피,유지,O,성산,mid,2,96467,비자림 같은 감성 카페에서 여유 한 잔을 즐길 수 있음.,,80,80,20260707,64385,고사리커피,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 중산간동로 2064,,느꼈던 제주 고사리커피 생생 후기로 함께 고고 가보실까요!? 호다닥 보실 분은 아래 영상으로 휘리릭 보세요 제주 구좌 고사리커피 위치  주소 : 제주시 구좌읍 중산간동로 2064(
커피템플,유지,O,기타,high,5,208871,,제주 제주시 영평길 269 중선농원 커피템플,84,80,20260706,7888,커피템플,"카페,디저트>카페",제주특별자치도 제주시 영평길 269 중선농원 커피템플,,"원두는 보장된 미래, 아름다운재앙(디카페인), You, 김득구가 있으며 원두는 블렌딩 원두로 템플만의... #제주커피테플 #제주시카페 #제주도커피템플 제주시카페 제주 커피템플은 오"
슬로모,유지,,김녕,low,1,208871,,,81,80,20260708,363,슬로모,"가구,인테리어>인테리어소품",제주특별자치도 제주시 산지로 43 2층,비카페업종,제주 동문시장 1번 출구와 산지천 부근에 위치해 있는 제주 소품샵 슬로모. (슬로모는 전용 주차 공간이 없기 때문에) 제주 슬로모 주차 꿀팁은 근처 북수구 공영주차장 주차 후 방문
노바운더리 제주,유지,,표선,high,2,2244,"뷰맛집이며 브런치와 시그니처 메뉴(모닝세트, 매운문어파스타, 노바라떼)를 제공하고 주차 가능하다고 안내됨.",,82,80,20260707,3186,노바운더리 제주,브런치카페,제주특별자치도 서귀포시 표선면 번영로 2610 1층,,제주 자연을 느끼면서 여유롭게 시간 보내고 싶은 날 다시 생각날 것 같은 카페다. #노바운더리제주 #표선카페 #다이나믹메이즈맛집 #제주브런치카페 #제주베이커리카페
이립,유지,O,중문,low,1,11791,,,80,80,20260703,1064,이립,"카페,디저트>차",제주특별자치도 제주시 한경면 청수로 82-10 2층,,"리뷰 나눠보려고 합니다 :) 제주 카페 이립 외관 및 뷰 사실 제주시에서 접근성이 좋은 카페는... 제주 이립 카페 티, 디저트 주문한 차들이 하나씩 나왔어요 ! 아이스로 시켜서 "
레크레,유지,,제주시내,high,1,13212,"대형 베이커리카페로 내부·외부 조경과 넓은 좌석, 3층 루프탑에서 한라산과 바다 전망을 볼 수 있으며 주차공간이 넓음. 시그니처 메뉴(비엔나커피",제주시 신비마을 1길 54,82,80,20260706,654,카페 레크레,"음식점>카페,디저트",제주특별자치도 제주시 신비마을1길 54,,"✔️ 카페 레크레  제주 제주시 신비마을1길 54 ☎️ 0507-1365-1272 ⏰️운영시간: 월, 화, 수, 금, 토, 일 10:30 - 19:00 / 라스트오더 18:30  "
해지개,유지,,애월,high,15,138339,한옥식 인테리어 & 넓은 야외 테라스석이 있습니다.,제주시 애월읍 애월북서길 52 . 1~2층,86,79,20260707,8970,해지개,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월북서길 52 . 1~2층,,제주 해지개로 시작된 이 날 일정은 애월이 왜 인기가 많은지 알 수 있게 해줬어요. 차량 이동이 필요 없을 정도로 세 군데가 붙어 있으니 하루 쯤 투자해 보세요. #해지개 #제주해
사슴책방,유지,,조천,high,1,2010,예쁜 정원과 소품이 있는 책방카페.,제주 제주시 조천읍 대흘리 1514-15,82,79,20260706,1732,사슴책방,서점>독립서점,제주특별자치도 제주시 조천읍 중산간동로 698-73 1층,비카페업종,"제주 사슴책방 메뉴 사슴책방은 좋은 제주 북카페이기도 해서, 음료를 주문해 카페로만 이용할 수도 있다. 서점은 많이 돌아보고 싶은데 책 구매에 대한 부담감이 있다면 아주 좋은 선택"
시종일관,유지,O,한림,high,2,13072,영업시간이 본문에 명시되어 있음: 금-수 10:00~18:00 (목요일 휴무).,제주시 한림읍 수원3길 1,81,79,20260707,7277,시종일관,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 수원3길 1 1층 시종일관,,제주 시종일관 한림디저트카페｜한림커피맛집｜분위기좋은카페｜내돈내산  주소 제주시 한림읍 수원... 제주 한림의 조용한 마을 속 감성 카페 시종일관은 제주 한림읍 수원리의 작은 마을 
위이,유지,,안덕,high,5,216469,드립커피 + 분위기 느좋,제주 서귀포시 안덕면 신화역사로682번길 12,83,79,20260705,6457,위이,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 신화역사로682번길 12,,신상 브런치 카페 위이 제주 위이 Wiee 영업시간 : 10:30 - 19:50 SNS: https://www.instagram.com/wiee.jeju 주차: 가게 옆 주차장 있
오드랑베이커리,유지,,함덕,low,2,208871,,,82,79,20260707,22195,오드랑베이커리 함덕점,"카페,디저트>베이커리",제주특별자치도 제주시 조천읍 조함해안로 552-3,,제주 오드랑베이커리 함덕점 오픈런 함덕해수욕장 앞 계절식탁 평소에 빵을 정말 좋아해서 여행 첫 날... 1.오드랑베이커리 주소 : 제주 제주시 조천읍 조함해안로 552-3 주소 :
마이크로 하비타트,유지,O,협재,low,1,28233,감성 넘치는 공간으로 소개됨.,,89,79,20260707,191,마이크로하비타트,"카페,디저트>카페",제주특별자치도 제주시 한림읍 한수풀로 11 1층,,마이크로하비타트 주소 : 제주 제주시 한림읍 한수풀로 11 1층 영업 : 매주 금요일 휴무 / 08:00 - 17:00 반려동물 동반 가능 / 가게 앞 주차 가능 딱 제주 감성의 
오드랑 베이커리,유지,,함덕,low,3,44350,,,82,79,20260707,22195,오드랑베이커리 함덕점,"카페,디저트>베이커리",제주특별자치도 제주시 조천읍 조함해안로 552-3,,제주 오드랑베이커리 함덕점 오픈런 함덕해수욕장 앞 계절식탁 평소에 빵을 정말 좋아해서 여행 첫 날... 1.오드랑베이커리 주소 : 제주 제주시 조천읍 조함해안로 552-3 주소 :
델문도 (카페델문도함덕),유지,O,함덕,low,1,1436,,,84,79,20260708,204014,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,,"제주도카페 제주 델문도 함덕 글, 사진 : 신양이 @ 여행 인플루언서 요즘 동남아여행 가면 이런 사진을... 음료 메뉴 커피: 아메리카노 7000원, 아이스 아메리카노 7500원,"
우도우베이커리,유지,,우도,low,1,2927,,,84,79,20260629,167,우도우베이커리,"카페,디저트>베이커리",제주특별자치도 제주시 우도면 우도해안길 808 1층,,디저트 제주 말차 소프트 베이크 타르트 4900원 바닐라빈 소프트 베이크 타르트 4900원 타르트세트 4pcs 19000원 말차 슈 세트 4pcs 12000원 우도우 베이커리 우도
우리는,유지,O,세화,low,1,29631,감성 카페로 소개됨 (세화 지역 내 카페 추천 목록 중 한 곳).,,84,79,20260708,1237552,우리는,"음식점>카페,디저트",제주특별자치도 제주시 서광로29길 8 1층,,"이쁜 구석이 많은 제주감성카페 우리는이에요. 갬성 가득한 공간이죠. 편안하면서 기분 좋은 느낌. 사장님 미술전공자 아니실까 싶은 느낌.. 힘 빼고 내추럴하게, 마치 아마추어인듯한 "
레미콘,유지,,제주시내,mid,1,433,공간이 넓고 빵 종류가 다양하며 커피도 깔끔하다고 언급됨. 산책할 수 있는 공간이 있어 아이와 가기 좋음.,,87,79,20260705,41857,레미콘,"카페,디저트>베이커리",제주특별자치도 제주시 거로남8길 21-32 101동,,레미콘 카페 주소 : 제주 제주시 거로남8길 21-32 101동 제주 레미콘 카페는 몇년전부터 제주에서 새롭게 주목받고 있는 대형 베이커리 카페입니다. 규모가 꽤 커서 주차장도 잘
게우지코지,유지,,서귀포시내,high,1,1823,,서귀포시 보목포로 179,85,79,20260626,3154,게우지코지 카페,"카페,디저트>베이커리",제주특별자치도 서귀포시 보목포로 179 게우지코지 카페,,그래서 들리게된 제주 쇠소깍 펜션 게우지코지 오션뷰에 룸에서 해돋이도 보이고 아침에는 유명한 베이커리카페의 조식제공 되는 곳이라 삼남매와 즐겁게 여행을 왔습니다! 해돋이가 보이는 
친봉산장,유지,,서귀포시내,high,1,20106,빈티지 감성 가득한 산장 느낌의 카페로 벽난로가 있어 감성 충만한 시간을 보내기 좋으며 시그니처 메뉴들이 있음.,제주 서귀포시 하신상로 417 친봉산장,80,79,20260704,4483,친봉산장,음식점>양식,제주특별자치도 서귀포시 하신상로 417 친봉산장,비카페업종,함께 즐기고 싶은 사람이 가면 더욱 좋을 곳으로 생각된다. 오늘의 후기. 끝! #내돈내산후기 #친봉산장 #제주카페 #제주분위기좋은카페 #반려동물입장가능카페 #반려동물 #유기견후원 
달콤아재,유지,O,우도,low,1,94,우도에 위치한 카페로 제주 동쪽 바다를 즐기며 방문한 카페 중 하나로 소개됨.,,80,79,20260706,1851,달콤아재,"음식점>카페,디저트",제주특별자치도 제주시 우도면 우도해안길 810 하고수동 해수욕장 앞,,우도 원조 땅콩아이스크림 맛집 우도여행 기념품 찾고 계시다면 ‘달콤아재’ 꼭 한번 들러보세요-! #제주여행 #제주가볼만한곳 #우도여행 #우도가볼만한곳 #우도땅콩아이스크림 #우도기념
So much more (쏘머치모어),유지,,조천,mid,1,678,구옥감성의 디저트 카페로 사장님이 직접 만드는 몽블랑을 제공하며 북촌포구를 바라보며 이용할 수 있음.,,80,79,20260625,1042,so much more,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 북촌11길 25 1F,,제주에서 특별한 디저트 카페를 찾고 계신 분들께 ‘쏘머치모어’ 조심스레 추천드립니다! so much more • 주소 : 제주 제주시 조천읍 북촌11길 25 • 운영시간 : 매일 
위이 (WIEE),유지,,위미,low,1,619,,,80,79,20260701,1814,위이,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 신화역사로682번길 12,,이번 제주 여행 중 꼭 가보고 싶었던 위시리스트 카페를 다녀왔읍니다 서귀포 카페 위이 wiee 위이는 와인의 wi와 커피의 ee를 조합한 이름으로 와인과 커피가 함께 있는 공간이라
애월 카페거리,유지,,애월,low,1,151,,,99,78,20260708,152210,애월카페거리,"여행,명소>거리,골목",제주특별자치도 제주시 애월읍 애월북서길 56-1,비카페업종,위치 및 기본 운영정보 한담해변 산책로와 가까워 카페 방문 전후로 산책하기 좋아요. 여행 동선에 넣기도 편해서 제주 애월 카페 거리 가볼만한곳을 찾는 분들에게 딱 맞는 코스랍니다.
애월빵공장,유지,,곽지,high,6,26899,곽지해변 바로 앞에 위치한 대형 베이커리 카페로 좌석이 널찍하고 아이들이 놀 수 있는 공간이 마련되어 있으며 바다 산책이 가능하다.,제주 제주시 애월읍 금성5길 42-15,80,78,20260707,12820,애월빵공장 앤 카페,"음식점>카페,디저트","제주특별자치도 제주시 애월읍 금성5길 42-15 1층, 2층 애월빵공장 앤 카페",,"그전에 빵 주문부터...! 애월빵공장 대표 빵인 현무암쌀빵부터 감자빵, 제주 쪽파 베이글, 치아바타 샌드위치 등 빵공장답게 다양한 종류의 빵들이 우리를 유혹했다. 빵, 마들렌, 쿠"
협재카페,유지,,협재,low,1,97,,,81,78,20260708,189601,베릴,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 협재1길 19-8 1층,이름불일치,"제주 협재 카페 잔물결 본점 주차 웨이팅 사진, 글, 영상: 낭만요니 안녕하세요 낭만요니입니다.... 카페 잔물결 협재 본점 위치 제주시 한림읍 금능길 58-1 금능해수욕장 도보 "
한형수정원,유지,,한림,mid,1,218,"자연과 사진 찍기 좋은 포토존이 있는 카페로, 정성 가득한 음료와 간식을 제공한다.",,81,78,20260707,640,한형수정원,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 옹포2길 44 한형수정원 테쉬폰 제주 찔레꽃 정원 카페 꽃구경,,자연 속에서 여유를 즐길 수 있었던 제주 서쪽 가볼만한곳 한형수정원 카페는 제주 여행에서 오래 기억에 남을 것 같아요. 다른 계절의 한형수가든도 정말 궁금하네요~ 제주 한형수정원 
꼬떼웨스트,유지,,중문,low,1,11791,,,79,78,20260707,251,꼬떼웨스트,"카페,디저트>베이커리",제주특별자치도 제주시 한경면 대한로 800-2 1층,,오후에 꼬떼웨스트 방문한 거라 그런가 생각보다 종류는 많이 없었다. 제주 베이커리 카페 카운터 옆 또 다른 공간으로 들어가니 테이블이 4~5개 정도 마련되어 있었고~ 창밖 야외에도
수망다원,유지,,표선,mid,2,450,비오는 날에 어울리는 다원으로 소개됨.,,78,78,20260706,1303,수망다원,"음식점>카페,디저트",제주특별자치도 서귀포시 남원읍 태수로608번길 84,,차가 정말 다 맛있음 제주에서 마신 차 중 1등!!! 2일차 수망다원 잎차뿐 아니라 커피 등 메뉴가 다양해서 누구와 가도 괜찮다. 차 맛도 괜춘 차밭뷰 예쁘고 분위기 편안함 3일차
바이러닉 에스프레소 바 제주점,유지,,제주시내,low,1,2404,,,78,78,20260627,974,바이러닉 에스프레소 바 제주점,"카페,디저트>카페",제주특별자치도 제주시 테우해안로 96 바이러닉 에스프레소바,,제주공항 근처 카페 바이러닉 에스프레소 바 제주점 안녕하세요! 여행 전문 블로거 김소민입니다!... ✨️ 이상 #제주공항 #근처 #카페 #바이러닉 #에스프레소 #바 #제주점 #내돈
에그타르트 맛집,유지,,제주시내,low,1,4213,,,84,78,20260707,56998,비주비주 한림점,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 한림해안로 9 1층,이름불일치,"나를 제주 맛집으로 안내를 해줬더랬다 평소 에그타르트를 좋아하는데 너무 맛있어보여서 꼭 가겠다고... 이제 에그타르트의 기준은 여기다!"" 라는 말이 나올 정도였어요~~ 제주 에그타"
애월카페거리,유지,,애월,low,1,7,,,99,78,20260708,152211,애월카페거리,"여행,명소>거리,골목",제주특별자치도 제주시 애월읍 애월북서길 56-1,비카페업종,위치 및 기본 운영정보 한담해변 산책로와 가까워 카페 방문 전후로 산책하기 좋아요. 여행 동선에 넣기도 편해서 제주 애월 카페 거리 가볼만한곳을 찾는 분들에게 딱 맞는 코스랍니다.
이야이야요,유지,,서귀포시내,low,1,1087,,,80,77,20260525,348,이야이야요,"카페,디저트>아이스크림",제주특별자치도 서귀포시 중정로61번길 20 1층 5호,,올레시장 맛집 탐방하다 찾게된 이야이야요라는 제주도 최초 수제 모나카 아이스크림 전문점입니당 이야이야요 0507-1497-1083 @rrrrrrrid  영업시간  매일 | 1:30
해화탕,유지,O,한림,mid,2,76699,"독특한 목욕탕 컨셉의 이색 카페로, 탕에 둥둥 떠다니는 도자기가 부딪힐 때 나는 소리가 힐링 요소로 소개됨.",,77,77,20260625,1236,해화탕,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 일주서로 5855 1층,,이어서 제주 이색 카페 해화탕 후기도 시작을 해볼게요. 몽환적인 분위기의 제주 해화탕 주소 제주시 한립읍 일주서로5855 지번: 한림읍 귀덕리 1030-1 영업시간 11:00~19
노을리,유지,,애월,high,14,96467,"오션뷰와 다양한 베이커리를 갖춘 카페로, 시그니처 음료 미숫가루라떼와 아메리카노를 제공. 빵은 오전(09:00)과 11:00에 주요 품목이 나온",제주 제주시 애월읍 애월해안로 654 가동 1층,79,77,20260701,9944,노을리,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월해안로 654,,동문시장 오메기떡 맛집 보다괜찮았던 제주 노을리 카페 동문시장 오메기떡 맛집 보다괜찮았던 제주 노을리 카페 동문시장 오메기떡 맛집 보다괜찮았던 제주 노을리 카페 안녕하세요. 오랜만
줄라이앤어거스트,유지,O,한림,mid,1,12766,유럽 빈티지 감성의 통창이 있는 사진 찍기 좋은 예쁜 카페입니다.,,78,77,20260706,1114,줄라이앤어거스트,"카페,디저트>카페",제주특별자치도 제주시 한경면 낙원로 93,,"Jeju Trip 제주 감성 가득한 힐링 플레이스 제주 한경 카페 맛있는 커피와 디저트가 있는 줄라이앤어거스트 주소 제주 제주시 한경면 낙원로 93 영업시간 월,화,목,금,토,일 "
헤일리카페,유지,,성산,low,1,210,,,77,77,20260708,1616,해일리 카페,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 한도로 269-37 해일리카페,이름불일치,비 오는 날 제주 특유의 몽글몽글한 분위기를 즐기기 위해 선택한 곳은 바로 성산읍 카페 중에서도 압도적인 뷰를 자랑하는 제주 헤일리카페입니다. 날씨가 맑았다면 더할 나위 없었겠지만
무릉연화303,유지,,대정,high,1,682,"애견동반 100% 가능(실내·외 + 전용 놀이터). 브런치 10:00-16:00, 디너 17:00-22:00(토요일 휴무). 산양큰엉곶 도보 5",서귀포시 대정읍 무릉인향로53번길 61-70,79,77,20260704,251,무릉연화 303,음식점>브런치,제주특별자치도 서귀포시 대정읍 무릉인향로53번길 61-70 카페무릉연화303,,식당명 : 무릉연화 303 위치정보 : 제주 서귀포시 대정읍 무릉인향로53번길 61-70 카페무릉연화303 연락처 : 0507-1412-0774 영업시간 : 매일 10:00 ~ 2
잔잔한,유지,,세화,mid,1,94,세화(평대리 근처로 표기된 평대리·세화 지역 맥락)에서 바다 경치를 즐기며 방문한 카페로 소개됨.,,77,77,20260706,133518,카페잔잔한,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 평대5길 31-29 1층,,"저는 오롯이 술 맛에 집중하며 조용히 즐기고 싶었는데, 드디어 제 취향에 딱 맞는 잔잔한 제주 혼술바를 찾았어요!!! 첫인상 : 헌팅 느낌 NO, 술에 진심인 공간 제주 시내에서 "
스나오코히,유지,,성산,low,1,129085,,,77,76,20260622,636,스나오 코히,"음식점>카페,디저트",제주특별자치도 서귀포시 하신상로9번길 2 1층(하효동),,26.04.18 - 26.04.21 제주기록 빵긋이와 3번째 제주여행  오전 10시 출발 ✈️ 아침 먹이고 공항 가니 출발... 근처 스나오코히에 들러 말차라떼 테이크아웃  (사장
유동커피,유지,O,서귀포시내,low,1,7681,,,79,76,20260707,21841,유동커피 소금공장점,"음식점>카페,디저트",제주특별자치도 제주시 용마서1길 30 1층 유동커피 소금공장점,,하겠습니다 유동커피는 제주도에 총 2곳이! 있는데 하나는 제주공항 근처에 위치하고 있고 또 다른 한... 생겼던 제주 유동커피 소금공장점이죠. 공항 근처라 비행기들도 낮게 날았어요
차한모금,유지,O,함덕,mid,2,159924,"대형카페보다 작은 카페를 좋아하는 분들께 강추, 빙수 추천.",,76,76,20260707,37648,차한모금,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 비자숲길 21 검은색 건물,,사실 근처 킨조베이커리라고 빵지순례 갈라다가 넘 열심히 걷다와서 힘들고 쉬고싶어서 근처 애견동반카페 찾아왔어요ㅎ-ㅎ 2026.03.29방문 차한모금  위치- 제주 제주시 구좌읍 비
땅콩 아이스크림,유지,,우도,low,1,7059,,,78,76,20260706,116321,카페살레,"음식점>카페,디저트","제주특별자치도 제주시 우도면 우도해안길 816 1,2층",이름불일치,마침 저희가 간 날은 사람도 북적이지 않고 한산한 편이라 야외 자리에 앉아 조용히 제주의 푸른 바다를 눈에 담을 수 있어서 너무너무 좋았어요. ㅎㅎ 메뉴는 땅콩라떼 땅콩아이스크림 
스나오 코히,유지,,제주시내,low,1,6133,,,77,76,20260622,636,스나오 코히,"음식점>카페,디저트",제주특별자치도 서귀포시 하신상로9번길 2 1층(하효동),,26.04.18 - 26.04.21 제주기록 빵긋이와 3번째 제주여행  오전 10시 출발 ✈️ 아침 먹이고 공항 가니 출발... 근처 스나오코히에 들러 말차라떼 테이크아웃  (사장
서귀피안 보래드 베이커스,유지,,서귀포시내,high,1,2146,호텔 서귀피안 1층에 자리한 베이커리 카페로 오션뷰 테라스에서 빵과 커피를 즐길 수 있음.,,79,76,20260626,3128,서귀피안 보래드베이커스,"음식점>카페,디저트",제주특별자치도 서귀포시 보목로64번길 178 호텔서귀피안 1층,,+ 맛있는 디저트까지 한 가득이였던 서귀피안 보래드 베이커스! 제주도 카페로 추천드리고 싶더라고요. 빠르게 리뷰 시작해볼게요 제주도 카페 추천 서귀피안 보래드 베이커스 기본정보 주
오마이살롱,유지,O,서귀포시내,low,3,2132,,,78,76,20260703,1273,오마이살롱,"카페,디저트>카페",제주특별자치도 서귀포시 안덕면 덕수회관로74번길 32 2동,,사실 이곳에 온 이유가 아침 일찍부터 여는 카페를 찾다가 왔던 건데 생각보다 좋았어요. 9시 30분에... 오마이살롱 다섯 번째 카페는 오마이살롱입니다. 위치 : 제주 서귀포시 안
홀츠,유지,,애월,high,2,19116,,제주 제주시 애월읍 하소로 681-13,78,76,20260707,1926,홀츠 애월,"카페,디저트>베이커리",제주특별자치도 제주시 애월읍 하소로 681-13 나동,,달래서 제주 당동에서 나왔다 그리고 숙소 옆에 있었던 #홀츠애월 커피도 맛있었는데 이것저것 식료품... 꼽자면 #제주당동 그리고 #제주홀츠애월 여기 근처만 가면 정말 독일같은 느낌
모노클제주,유지,,남원,high,2,28050,,제주 서귀포시 남원읍 태위로360번길 30-8,83,76,20260707,2345,모노클제주,"음식점>카페,디저트",제주특별자치도 서귀포시 남원읍 태위로360번길 30-8 모노클제주,,서귀포 모느클제주 방문 제주 여행 2번째 날 와이프랑 같이 맛있는 점심밥을 먹고 여유 있게 음료를 한잔하면서 맛있는 케이크를 먹기 위해 방문한 곳은 서귀포 모노클제주 이곳은 블루리
내음커피바,유지,O,김녕,mid,3,15651,창 밖 분위기가 예쁘고 깔끔하다는 숙소 설명과 함께 본문에서 김녕에 방문해 카페 이용을 언급합니다.,,80,75,20260704,195,내음커피바,"음식점>카페,디저트","제주특별자치도 제주시 산지로 17 나동 1,2층",,"추천, 제주 내음커피바 영업시간: 화/수/목/금/토/일 08:00 ~ 22:00 월 정기휴무 Last Order 21:30 *2층... 내음커피바도 제주백잔? - 2025 제주 카"
수리코,유지,,기타,high,3,12766,본문에 주소(제주 제주시 한경면 조수설목1길 8)가 명시된 브런치 카페.,제주 제주시 한경면 조수설목1길 8,76,75,20260626,1751,수리코 Surico,음식점>브런치,제주특별자치도 제주시 한경면 조수설목1길 8,,이번 제주여행 계획하면서 가장 와보고싶었던 #수리코 주차는 마을 안으로 안들어가고 큰 대로변 흰색... 아니야ㅠㅠㅠ 제주 수리코에서는 6년 동안 키운 천연 발효종으로 매일 아침 건
조은기록,유지,O,한림,low,1,651,,,78,75,20260708,3783,조은기록,브런치카페,제주특별자치도 제주시 한림읍 대림10길 76-3 1층,,"움직이기 피곤했는데, 안 갔으면 아쉬웠을 제주도 브런치 카페. 분위기도 좋고 사장님네도 친절하시고~ 안 갈 이유가 없다! 혹시 모르니 새참 도시락은 예약해두기! 조은기록 제주 제주"
rnr 베이커리,유지,,애월,low,2,96878,,,78,75,20260702,1335,rnr,"카페,디저트>베이커리",제주특별자치도 제주시 한림읍 협재1길 29,이름불일치,"이렇게 제주도 빵지순례 맛집 제주도 빵 맛집인 rnr베이커리에 대해서 소개해드렸는데용!! 제주 서쪽, 한림, 협재 쪽을 방문하시는 분이라면 시간내서 꼭 한번 들려보시길 추천드립니다"
rnr베이커리,유지,,한림,high,2,812,"코너 쪽으로 비양도가 보이는 살짝 오션뷰가 있으며, 실내는 3~4인용 테이블 5개 정도로 넓지 않고 테이크아웃 손님이 많아 자리가 금방 찹니다.",제주 제주시 한림읍 협재1길 29,78,75,20260702,1335,rnr,"카페,디저트>베이커리",제주특별자치도 제주시 한림읍 협재1길 29,이름불일치,"이렇게 제주도 빵지순례 맛집 제주도 빵 맛집인 rnr베이커리에 대해서 소개해드렸는데용!! 제주 서쪽, 한림, 협재 쪽을 방문하시는 분이라면 시간내서 꼭 한번 들려보시길 추천드립니다"
표선 카페,유지,O,표선,low,1,1973,,,82,75,20260708,62400,목장카페 밭디,"음식점>카페,디저트",제주특별자치도 서귀포시 표선면 번영로 2486,이름불일치,#젠타일즈 #표선카페 #제주표선카페 #표선카페추천 #제주카페 #제주동쪽카페 #서귀포카페 #제주대형카페 #표선해수욕장카페 #제주오션뷰카페 #제주감성카페 #제주신상카페 #제주도민카페 
산방산 카페,유지,,기타,low,1,1973,,,80,75,20260705,140174,부젤라또,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 형제해안로 32 부젤라또,이름불일치,"카페 매장 외관 분위기 제주 산방산 방향, 화순금모래해수욕장에서 차로 5분 거리에 있는 비밀역은... 펼쳐지며 제주 산방산 카페만의 특별한 모습을 눈앞에서 확인할 수 있었습니다. "
표선카페 (unspecified),유지,O,표선,low,1,699,,,82,75,20260708,62398,목장카페 밭디,"음식점>카페,디저트",제주특별자치도 서귀포시 표선면 번영로 2486,이름불일치,#젠타일즈 #표선카페 #제주표선카페 #표선카페추천 #제주카페 #제주동쪽카페 #서귀포카페 #제주대형카페 #표선해수욕장카페 #제주오션뷰카페 #제주감성카페 #제주신상카페 #제주도민카페 
제주운치 서귀포 중문점,유지,,중문,high,1,3612,"영업시간과 라스트오더, 주차장 있음 정보가 본문에 있음 (매일 12:00~22:00, 라스트오더 21:00).",제주 서귀포시 중문관광로 20 2층,75,75,20260707,77270,제주운치 서귀포 중문점,한식>돼지고기구이,"제주특별자치도 서귀포시 중문관광로 20 1층, 2층 제주 운치흑돼지 중문점",비카페업종,제주운치 서귀포 중문점 제주 서귀포시 중문관광로 20 영업시간 매일 12시 - 22시 애견동반 가능 주차장 넓음 카멜리아힐에서 즐거운 시간를 보내고 차로 10분 거리에 있는 제주운
콩카페,유지,,애월,high,8,35874,"영업시간이 09:30~20:20이며 대표메뉴로 코코넛스무디커피, 코코넛연유커피, 비나카노가 언급되어 있음.",제주 제주시 애월읍 곽지3길 21,96,75,20260703,7059,콩카페 제주곽지해변점,"카페,디저트>카페",제주특별자치도 제주시 애월읍 곽지3길 21 1층,,곽지콩카페는 1층에 위치해 심플한 외관이 돋보였어요. 차량을 가지고 온다면 곽지해변 주차장을 이용하면 도보 4분거리로 근접해있었어요. 베트남감성을 그대로 안고 있는 제주 유명 카페
미영이네,유지,,김녕,low,1,33490,,,80,75,20260707,24413,미영이네,한식>생선회,제주특별자치도 서귀포시 대정읍 하모항구로 42,비카페업종,제주 고등어회 맛집 미영이네 조천점 #왓츠인마이블로그 #블로그챌린지 #일상포토덤프 #블로그챌린지... 같은 제주 미영이네 조천점 밤 비행기로 도착해서 공항 근처 렌터카에서 차 받고
